what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1287874965684
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1287874965685
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1287874965685
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1287874965685
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1287874965686
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1287874965687
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1287874965687
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1287874965688
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1287874965688
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1287874965689
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1287874965690
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1287874965691
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1287874965691
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1287874965691
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1287874965693
os,sysinfo,,,"macosx",1287874965696
arch,sysinfo,,,"x86",1287874965696
ws,sysinfo,,,"cocoa",1287874965696
locale,sysinfo,,,"en_US",1287874965696
processors,sysinfo,,,"2",1287874965696
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1287874965696
java.runtime.version,sysinfo,,,"1.5.0_26-b03-376-9M3263",1287874965696
java.specification.name,sysinfo,,,"Java Platform API Specification",1287874965696
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287874965696
java.specification.version,sysinfo,,,"1.5",1287874965696
java.vendor,sysinfo,,,"Apple Inc.",1287874965696
java.version,sysinfo,,,"1.5.0_26",1287874965696
java.vm.info,sysinfo,,,"mixed mode",1287874965696
